<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CISS.US,D,20230615,000000,270000,293700,116700,159300,1.7148333336763004,0
CISS.US,D,20230616,000000,138000,164700,127500,163414,1.04046666687476,0
CISS.US,D,20230620,000000,165000,222600,165000,171000,1.2100000002420002,0
CISS.US,D,20230621,000000,153000,166500,143250,143400,0.22793333337892002,0
CISS.US,D,20230622,000000,105300,156000,84000,111000,30.316666672729998,0
CISS.US,D,20230623,000000,114300,137400,73800,78900,56.49000001129801,0
CISS.US,D,20230626,000000,65700,72600,51600,55500,44.87406667564149,0
CISS.US,D,20230627,000000,44700,55800,41475,50700,47.864933342906326,0
CISS.US,D,20230628,000000,46800,49200,38700,39900,46.36590000927318,0
CISS.US,D,20230629,000000,37500,43200,34656,37200,37.58020000751604,0
CISS.US,D,20230630,000000,38100,38700,32100,33300,206.59020004131804,0
CISS.US,D,20230703,000000,29820,37200,29700,33600,29.079600005815923,0
CISS.US,D,20230705,000000,35100,36600,34200,34800,30.10060000602012,0
CISS.US,D,20230706,000000,34500,35400,33000,33600,14.199000002839803,0
CISS.US,D,20230707,000000,33900,36900,32700,34800,28.49106667236488,0
CISS.US,D,20230710,000000,34800,36600,32100,33900,20.4980000040996,0
CISS.US,D,20230711,000000,33000,34800,31500,33600,33.18910000663782,0
CISS.US,D,20230712,000000,37200,43200,32400,33000,152.76883336388713,0
CISS.US,D,20230713,000000,33600,34200,29100,30000,53.05860001061173,0
CISS.US,D,20230714,000000,31800,31800,29250,29790,28.528466672372367,0
CISS.US,D,20230717,000000,33000,33300,29541,30000,65.74433334648221,0
CISS.US,D,20230718,000000,29679,30000,25500,26157,44.75153334228365,0
CISS.US,D,20230719,000000,25680,26100,23100,24720,35.82006667383069,0
CISS.US,D,20230720,000000,25140,25800,24030,24300,18.12713333695876,0
CISS.US,D,20230721,000000,24855,25092,22611,22611,21.525666670971802,0
CISS.US,D,20230724,000000,22800,22800,20439,20778,19.185500003837102,0
CISS.US,D,20230725,000000,20100,20670,18939,19800,17.53030000350606,0
CISS.US,D,20230726,000000,20406,23100,18636,19770,57.98990001159798,0
CISS.US,D,20230727,000000,19263,20097,17415,17838,27.154766672097622,0
CISS.US,D,20230728,000000,18570,18570,16500,18198,25.392933338411922,0
CISS.US,D,20230731,000000,21069,21426,19200,20094,36.63820000732765,0
CISS.US,D,20230801,000000,19320,20571,18912,19410,22.30010000446002,0
CISS.US,D,20230802,000000,19413,19467,18330,19440,11.356333335604603,0
CISS.US,D,20230803,000000,19020,19350,18198,18789,11.531366668972941,0
CISS.US,D,20230804,000000,18900,19176,18000,18060,9.592100001918421,0
CISS.US,D,20230807,000000,17700,19012.6,17406,18036,11.264366668919543,0
CISS.US,D,20230808,000000,17730,18561,16899,18420,12.610366669188743,0
CISS.US,D,20230809,000000,18750,18897,17583,18060,8.6635000017327,0
CISS.US,D,20230810,000000,18630,18870,17640,17970,8.02303333493794,0
CISS.US,D,20230811,000000,18036,18591,17550,18588,13.512166669369101,0
CISS.US,D,20230814,000000,18750,18750,18036,18102,7.059833334745299,0
CISS.US,D,20230815,000000,18030,18400.9,17325,17625,5.56730000111346,0
CISS.US,D,20230816,000000,17100,17388,14103,14697,24.664933338266323,0
CISS.US,D,20230817,000000,14850,14850,14187,14490,7.705400001541079,0
CISS.US,D,20230818,000000,14160,14400,13518,13650,11.75193333568372,0
CISS.US,D,20230821,000000,13860,13863,13308,13455,5.830733334499481,0
CISS.US,D,20230822,000000,13770,13797,12330,12600,5.93336666785334,0
CISS.US,D,20230823,000000,12798,14649,12114,14088,13.438733336021082,0
CISS.US,D,20230824,000000,14040,14130,12450,13005,7.65213333486376,0
CISS.US,D,20230825,000000,13590,14343,13200,13200,6.9952000013990405,0
CISS.US,D,20230828,000000,13224,14040,12720,13614,8.286566668323982,0
CISS.US,D,20230829,000000,13800,15027,12930,13278,10.045166668675702,0
CISS.US,D,20230830,000000,13275,13770,12933,13053,3.1596333339652602,0
CISS.US,D,20230831,000000,12930,13950,12048,12894,7.385733334810481,0
CISS.US,D,20230901,000000,16500,20964,13203,13680,134.90510002698102,0
CISS.US,D,20230905,000000,13830,14100,12450,12900,10.36963333540726,0
CISS.US,D,20230906,000000,12660,13350,12309,12441,6.45190000129038,0
CISS.US,D,20230907,000000,12348,12897,12090,12192,5.3053000010610605,0
CISS.US,D,20230908,000000,12270,12750,11550,11589,12.160000002432,0
CISS.US,D,20230911,000000,12000,12000,11262,11268,4.936200000987241,0
CISS.US,D,20230912,000000,11916,11916,11100,11130,5.9351000011870205,0
CISS.US,D,20230913,000000,11100,11430,10866,11370,3.9505333341234405,0
CISS.US,D,20230914,000000,11400,11750.2,11334,11610,3.2919333339917203,0
CISS.US,D,20230915,000000,11580,12000,11400,11940,3.26403333398614,0
CISS.US,D,20230918,000000,12582,12582,11400,11583,3.5007333340334803,0
CISS.US,D,20230919,000000,12060,12060,11100,11327.4,3.14543333396242,0
CISS.US,D,20230920,000000,11364,12450,10899,11703,8.15610000163122,0
CISS.US,D,20230921,000000,12300,12900,11655,12720,9.56230000191246,0
CISS.US,D,20230922,000000,11940,12960,11940,12480,2.4360000004872004,0
CISS.US,D,20230925,000000,12939,14340,12150,14340,14.336766669534022,0
