<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LRHC.US,D,20231010,000000,4200,4424,2512,2800,1112.5,0
LRHC.US,D,20231011,000000,3000,3200,2400,2704,201.883,0
LRHC.US,D,20231012,000000,2528,2759.52,2400,2400,54.071200000000005,0
LRHC.US,D,20231013,000000,2528,2528,2000,2240,23.7837,0
LRHC.US,D,20231016,000000,2632,2800,2368,2416,75.3112,0
LRHC.US,D,20231017,000000,2384,2400,1786.72,1880,28.5325,0
LRHC.US,D,20231018,000000,1792,2112,1792,2024,27.9212,0
LRHC.US,D,20231019,000000,2120,2120,1904,1976,25.4225,0
LRHC.US,D,20231020,000000,1720,1904,1720,1872,20.218700000000002,0
LRHC.US,D,20231023,000000,1784,1920,1600,1776,80.72000000000001,0
LRHC.US,D,20231024,000000,1808,1816,1352,1384,231.018,0
LRHC.US,D,20231025,000000,1392,1432,1240,1256,132.818,0
LRHC.US,D,20231026,000000,1368,1680,1224,1352,623.932,0
LRHC.US,D,20231027,000000,1312,1312,856,968,148.702,0
LRHC.US,D,20231030,000000,992,1024,896,960,490.515,0
LRHC.US,D,20231031,000000,976,1144,920,1024,376.12300000000005,0
LRHC.US,D,20231101,000000,1024,1031.44,720,775.92,378.28000000000003,0
LRHC.US,D,20231102,000000,800,832,754.8,832,89.69120000000001,0
LRHC.US,D,20231103,000000,808,863.04,784,824,24.585,0
LRHC.US,D,20231106,000000,848,880,784,800,47.673700000000004,0
LRHC.US,D,20231107,000000,824,840,752.4,840,11.5737,0
LRHC.US,D,20231108,000000,872,872,792,800,32.1962,0
LRHC.US,D,20231109,000000,848,854.08,800,808,11.1437,0
LRHC.US,D,20231110,000000,800,816,736.88,760,53.2962,0
LRHC.US,D,20231113,000000,824,840,726.32,808,87.69500000000001,0
LRHC.US,D,20231114,000000,920,920,744,800,56.85750000000001,0
LRHC.US,D,20231115,000000,808,808,720,760,47.955000000000005,0
LRHC.US,D,20231116,000000,752.32,872,720.001,864,61.075,0
LRHC.US,D,20231117,000000,920,1624,864,1304,3114.13,0
LRHC.US,D,20231120,000000,1128,1640,1048.08,1560,967.9530000000001,0
LRHC.US,D,20231121,000000,1560,1573.28,1216.08,1504,247.425,0
LRHC.US,D,20231122,000000,1576,1584,1408,1464,78.2425,0
LRHC.US,D,20231124,000000,1424,1576,1424,1576,32.3775,0
LRHC.US,D,20231127,000000,1584,2251.2,1552,1992,645.423,0
LRHC.US,D,20231128,000000,2112,2224,1764,1880,175.34300000000002,0
LRHC.US,D,20231129,000000,1632,1848,1416,1568,300.75500000000005,0
LRHC.US,D,20231130,000000,1497.6,1808,1496.08,1592,73.355,0
LRHC.US,D,20231201,000000,1581.04,1832,1500.72,1640,18.1675,0
LRHC.US,D,20231204,000000,1808,1808,1592.32,1660,13.925,0
LRHC.US,D,20231205,000000,1608,1632,1600.88,1604,11.401200000000001,0
LRHC.US,D,20231206,000000,1632,1672,1583.52,1672,3.0250000000000004,0
LRHC.US,D,20231207,000000,1520,1686.56,1088,1312,118.84700000000001,0
LRHC.US,D,20231208,000000,1304,1352,1264,1264,13.3737,0
LRHC.US,D,20231211,000000,1280,1368,1200,1344,27.022500000000004,0
LRHC.US,D,20231212,000000,1208,1280,1208,1216,5.6725,0
LRHC.US,D,20231213,000000,1257.2,1384,1208,1312,10.871200000000002,0
LRHC.US,D,20231214,000000,1336,1384,1200,1200,10.6112,0
