<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NIVF.US,D,20240405,000000,21300,21600,14550,15000,162.70813331706253,0
NIVF.US,D,20240408,000000,15750,15750,12595.7,13800,61.73359999382665,0
NIVF.US,D,20240409,000000,13500,15750,12315,14698.5,34.69939999653006,0
NIVF.US,D,20240410,000000,14700,16200,13518,15150,21.99053333113428,0
NIVF.US,D,20240411,000000,14695.5,14728.9,12900,13584,15.8389999984161,0
NIVF.US,D,20240412,000000,13500,13702.5,12483,12916.4,18.033866664863282,0
NIVF.US,D,20240415,000000,12750,13108.5,12015,12300,12.689799998731022,0
NIVF.US,D,20240416,000000,11850,11850,10195.5,10377,18.913466664775324,0
NIVF.US,D,20240417,000000,10365,11700,9525,11403,22.374133331095923,0
NIVF.US,D,20240418,000000,11550,12750,10350,11445,23.327999997667206,0
NIVF.US,D,20240419,000000,11287.5,11850,10800,11206.5,5.363733332796961,0
NIVF.US,D,20240422,000000,16800,28350,16350,19200,5366.509866130016,0
NIVF.US,D,20240423,000000,21750,44250,20850,33450,9138.566599086145,0
NIVF.US,D,20240424,000000,30600,31500,22950,23250,361.37306663052937,0
NIVF.US,D,20240425,000000,22800,28050,19500,19500,231.50986664351572,0
NIVF.US,D,20240426,000000,23400,35850,21750,26700,3852.1896662814484,0
NIVF.US,D,20240429,000000,30000,33450,27900,30600,606.4674666060199,0
NIVF.US,D,20240430,000000,28800,29250,22800,26250,128.64433332046892,0
NIVF.US,D,20240501,000000,25050,25050,22950,24000,48.82439999511757,0
NIVF.US,D,20240502,000000,23250,23550,16350,19050,67.86473332654687,0
NIVF.US,D,20240503,000000,18900,19950,16800,18150,46.88606666197808,0
NIVF.US,D,20240506,000000,16800,18600,16800,16950,25.35273333079806,0
NIVF.US,D,20240507,000000,16950,17550,16200,16275,22.795199997720488,0
NIVF.US,D,20240508,000000,18150,29250,17400,22650,1759.0919998240909,0
NIVF.US,D,20240509,000000,21750,25050,21000,21450,89.93113332434024,0
NIVF.US,D,20240510,000000,19800,20100,17700,19200,39.693666662697304,0
NIVF.US,D,20240513,000000,18150,21450,18150,19350,46.961133328637224,0
NIVF.US,D,20240514,000000,17850,19621.5,16500,18600,33.1816666633485,0
NIVF.US,D,20240515,000000,18600,19200,17401.5,19050,16.054933331727845,0
NIVF.US,D,20240516,000000,18300,19500,18300,18300,15.448733331788462,0
NIVF.US,D,20240517,000000,18450,18922.5,16800,16948.5,18.312399998168765,0
NIVF.US,D,20240520,000000,17100,20250,16800,19798.5,29.039333330429407,0
NIVF.US,D,20240521,000000,20400,21600,18087,18150,12.3179999987682,0
NIVF.US,D,20240522,000000,18153,19491,17203.5,17400,12.28006666543866,0
NIVF.US,D,20240523,000000,17550,18000,16275,17100,17.44546666492212,0
NIVF.US,D,20240524,000000,17100,17700,15600,15900,15.840866665082583,0
NIVF.US,D,20240528,000000,16200,18747,16200,17250,18.888733331444463,0
NIVF.US,D,20240529,000000,16650,18750,16350,17700,10.128799998987121,0
NIVF.US,D,20240530,000000,17850,18750,17253,18450,12.846999998715303,0
NIVF.US,D,20240531,000000,18000,20850,18000,20550,17.38893333159444,0
NIVF.US,D,20240603,000000,20550,23550,20400,20700,131.113333320222,0
NIVF.US,D,20240604,000000,19200,19350,16500,17100,37.678399996232166,0
NIVF.US,D,20240605,000000,16500,17100,16500,16800,14.017666665264901,0
NIVF.US,D,20240606,000000,16800,18750,16521,17850,16.024799998397523,0
NIVF.US,D,20240607,000000,16650,17250,16650,17250,7.640733332569261,0
NIVF.US,D,20240610,000000,17850,17998.5,16350,17550,8.3489999991651,0
NIVF.US,D,20240611,000000,17400,17473.5,16800,17175,4.623666666204301,0
NIVF.US,D,20240612,000000,16950,17550,16800,17025,2.1575333331175806,0
NIVF.US,D,20240613,000000,17250,17550,15000,15900,8.2983333325035,0
NIVF.US,D,20240614,000000,16350,16350,15450,15600,8.075399999192461,0
NIVF.US,D,20240617,000000,16350,16350,14250,14730,8.311066665835561,0
NIVF.US,D,20240618,000000,14550,14892,13573.5,13950,15.463599998453644,0
NIVF.US,D,20240620,000000,13650,14130,12528,12660,15.705466665096122,0
NIVF.US,D,20240621,000000,13953,18600,13545,15750,236.93699997630634,0
NIVF.US,D,20240624,000000,14700,16200,13500,15450,30.980866663568584,0
NIVF.US,D,20240625,000000,15300,16350,14853,16200,22.822133331051127,0
NIVF.US,D,20240626,000000,15450,16200,15150,15225,11.403533332192978,0
NIVF.US,D,20240627,000000,15150,15450,14550,15300,4.6591333328674205,0
NIVF.US,D,20240628,000000,15153,15300,14553,14701.5,2.6019333330731405,0
NIVF.US,D,20240701,000000,14700,15000,14250,14550,3.603799999639621,0
NIVF.US,D,20240702,000000,14287.5,14970,13500,13662,9.078666665758803,0
NIVF.US,D,20240703,000000,14250,14850,13966.5,14445,7.507666665915901,0
NIVF.US,D,20240705,000000,14400,14700,14400,14490,4.647399999535261,0
NIVF.US,D,20240708,000000,14850,15900,14550,15001.5,9.626133332370722,0
NIVF.US,D,20240709,000000,15150,18750,15000,16650,33.142866663352386,0
NIVF.US,D,20240710,000000,17250,17398.5,16050,16800,6.9703333326363,0
NIVF.US,D,20240711,000000,16350,16650,15150,15900,8.496266665817043,0
NIVF.US,D,20240712,000000,15900,16269,14700,15300,5.410799999458922,0
NIVF.US,D,20240715,000000,15180,15300,14400,14550,2.9204666663746197,0
NIVF.US,D,20240716,000000,14919.8,14919.8,14251.5,14481,3.5825333329750797,0
NIVF.US,D,20240717,000000,14250,14700,13950,14124,6.14159999938584,0
NIVF.US,D,20240718,000000,14250,14610,13800,14101.5,4.529399999547061,0
NIVF.US,D,20240719,000000,14162.1,14400,13800,13801.5,1.48573333318476,0
NIVF.US,D,20240722,000000,13800,14100,13350,13563,2.0707333331262605,0
NIVF.US,D,20240723,000000,13350,13950,12754.5,13063.5,336.7369999663263,0
NIVF.US,D,20240724,000000,14400,19050,12450,15000,689.9310665976736,0
NIVF.US,D,20240725,000000,13200,14989.5,13125,14668.8,39.45026666272165,0
NIVF.US,D,20240726,000000,13986,15900,13980,15450,23.805266664286144,0
NIVF.US,D,20240729,000000,14970,15450,14400,14850,9.977666665668902,0
NIVF.US,D,20240730,000000,14251.5,14964,13350,13656,8.062866665860382,0
NIVF.US,D,20240731,000000,13246.5,14250,13200,13920,4.28639999957136,0
NIVF.US,D,20240801,000000,13500,14083.5,13230,13710,2.6959333330637403,0
NIVF.US,D,20240802,000000,12750,13500,12750,13078.5,2.6673999997332607,0
NIVF.US,D,20240805,000000,12075,13125,12075,12600,6.507533332682581,0
NIVF.US,D,20240806,000000,12600,13629,12022.5,12780,1.8049999998195,0
NIVF.US,D,20240807,000000,12780,13419,12136.5,12450,1.3654666665301205,0
NIVF.US,D,20240808,000000,12735,12735,12007.5,12450,2.2307333331102606,0
NIVF.US,D,20240809,000000,12282,12750,12150,12600,1.74606666649206,0
NIVF.US,D,20240812,000000,12780,12780,12226.5,12600,2.1259999997874,0
NIVF.US,D,20240813,000000,12900,13650,12450,13241.3,1.1226666665544,0
NIVF.US,D,20240814,000000,12480,13020,12480,12567.1,0.8813999999118601,0
NIVF.US,D,20240815,000000,13830,13830,12628.5,12781.5,3.131933333020141,0
NIVF.US,D,20240816,000000,12750,13198.5,12450,12786,2.71506666639516,0
NIVF.US,D,20240819,000000,13500,13500,12630,13020,4.01393333293194,0
NIVF.US,D,20240820,000000,12985.5,12985.5,12318,12465,8.214266665845242,0
NIVF.US,D,20240821,000000,12480,13008,12480,12820.2,1.84493333314884,0
NIVF.US,D,20240822,000000,12750,13950,12621,13950,5.109933332822341,0
NIVF.US,D,20240823,000000,14250,18450,13500,17010,35.83026666308365,0
NIVF.US,D,20240826,000000,17400,17700,14251.5,14505,11.871733332146162,0
NIVF.US,D,20240827,000000,14341.5,14850,12900,14247,7.354533332597881,0
NIVF.US,D,20240828,000000,13950,14250,12450,13552.5,9.185999999081401,0
NIVF.US,D,20240829,000000,13686,13800,12925.5,13197,3.626466666304021,0
NIVF.US,D,20240830,000000,14085,14100,12901.5,12903,3.2112666663455407,0
NIVF.US,D,20240903,000000,13050,13200,12535.5,12540,1.6598666665006803,0
NIVF.US,D,20240904,000000,12450,12750,10125,11100,17.392933331594044,0
NIVF.US,D,20240905,000000,10780.5,11847,10374,10578,4.014933332931841,0
NIVF.US,D,20240906,000000,10500,11040,9840,10215,2.4976666664169,0
NIVF.US,D,20240909,000000,11100,11100,9750,10500.8,4.501999999549801,0
NIVF.US,D,20240910,000000,10530,10695,10050,10125,2.30153333310318,0
NIVF.US,D,20240911,000000,9975,10501.5,9900,10500,2.9399333330393405,0
NIVF.US,D,20240912,000000,10867.5,10950,10239,10504.5,1.1270666665539602,0
NIVF.US,D,20240913,000000,10500,10650,10147.5,10479,1.5458666665120802,0
NIVF.US,D,20240916,000000,10204.5,10755,9900,10461,1.4002666665266403,0
NIVF.US,D,20240917,000000,10200,10710,10050,10050,0.8149999999185,0
NIVF.US,D,20240918,000000,10050,10635,9904.5,10245,1.53593333317974,0
NIVF.US,D,20240919,000000,9765,10200,9166.5,9469.5,1.7231999998276801,0
NIVF.US,D,20240920,000000,9474,10051.5,9054,9705,1.9955999998004403,0
NIVF.US,D,20240923,000000,9690,9690,8625,9039,2.6800666663986608,0
NIVF.US,D,20240924,000000,8625,8850,8625,8733,1.9557999998044204,0
NIVF.US,D,20240925,000000,8700,10500,8250,9990,56.68453332766488,0
NIVF.US,D,20240926,000000,9450,10084.5,9165,9561,6.806266665986041,0
NIVF.US,D,20240927,000000,9561,10044.6,9360,9360,1.03493333322984,0
NIVF.US,D,20240930,000000,9300,10594.5,9015,10185,4.376333332895701,0
NIVF.US,D,20241001,000000,10500,10650,10162.5,10437,2.67179999973282,0
NIVF.US,D,20241002,000000,10248,10277.3,9615,9750,1.5253333331808,0
NIVF.US,D,20241003,000000,9750,10227,9442.5,9630,1.7282666664938402,0
NIVF.US,D,20241004,000000,9855.75,10170,9705,10170,0.6497333332683601,0
NIVF.US,D,20241007,000000,9754.5,9754.5,9180,9403.5,1.7496666664917,0
NIVF.US,D,20241008,000000,9225,9720,8700,9528,1.16606666655006,0
NIVF.US,D,20241009,000000,9735,9735,8761.5,8761.5,0.8279333332505401,0
NIVF.US,D,20241010,000000,8766,9403.8,8400,8995.5,655.2440666011423,0
NIVF.US,D,20241011,000000,13050,16200,10801.5,14700,3900.60879960994,0
NIVF.US,D,20241014,000000,12255,14850,10500,11317.5,154.88466665117818,0
NIVF.US,D,20241015,000000,11905.5,49200,11700,29400,9464.459665720222,0
NIVF.US,D,20241016,000000,27000,34051.5,18000,18300,777.8451999222157,0
NIVF.US,D,20241017,000000,18600,24900,16800,17700,297.1043333036229,0
NIVF.US,D,20241018,000000,18300,23700,16500,18000,468.9975332864336,0
NIVF.US,D,20241021,000000,17250,19200,16050,17100,78.4888666588178,0
NIVF.US,D,20241022,000000,17100,18450,15750,17850,43.35219999566479,0
NIVF.US,D,20241023,000000,17250,18000,14850,15450,42.5039999957496,0
NIVF.US,D,20241024,000000,15450,15900,14850,15900,16.967199998303283,0
NIVF.US,D,20241025,000000,15300,15900,12748.5,13501.5,24.35686666423098,0
NIVF.US,D,20241028,000000,14098.5,14098.5,12000,12600,15.054199998494585,0
NIVF.US,D,20241029,000000,12450,12450,11401.5,12064.5,11.556599998844343,0
NIVF.US,D,20241030,000000,11610,12750,11265,12555,14.443133331889024,0
NIVF.US,D,20241031,000000,11760,12607.5,11760,12178.5,6.1001333327233205,0
NIVF.US,D,20241101,000000,11760,11760,10950,11115,8.188733332514461,0
NIVF.US,D,20241104,000000,10800,11100,9894,10164,8.85419999911458,0
NIVF.US,D,20241105,000000,10485,10800,9914.55,10800,4.827399999517261,0
NIVF.US,D,20241106,000000,10950,11604,10051.5,10965,12.296266665437043,0
NIVF.US,D,20241107,000000,11625,11625,10951.5,11025,3.1675999996832407,0
NIVF.US,D,20241108,000000,11670,11670,10836,11101.5,4.367533332896581,0
NIVF.US,D,20241111,000000,11685,11685,10500,10500,4.581466666208522,0
NIVF.US,D,20241112,000000,9904.5,11670,9904.5,10149,7.9472666658719415,0
NIVF.US,D,20241113,000000,9999,10590,9303,9615,8.316133332501721,0
NIVF.US,D,20241114,000000,10245,10245,9000,9322.5,9.136399999086361,0
NIVF.US,D,20241115,000000,9390,10350,9030,9765,13.066266665360041,0
NIVF.US,D,20241118,000000,13486.5,14205,8295,8700,2867.9992663798675,0
NIVF.US,D,20241119,000000,8136,8850,6985.5,8533.5,149.80399998501963,0
NIVF.US,D,20241120,000000,8608.5,9987,8128.5,8925,112.49846665541682,0
NIVF.US,D,20241121,000000,8640,9075,7500,8148,64.50006666021667,0
NIVF.US,D,20241122,000000,8010,8332.5,7500,7635,72.75786665939088,0
NIVF.US,D,20241125,000000,7350,7350,6180,6240,52.84079999471594,0
NIVF.US,D,20241126,000000,6240,6450,4966.5,5550,44.51719999554829,0
NIVF.US,D,20241127,000000,5565,5625,5100,5160,26.151266664051544,0
NIVF.US,D,20241129,000000,5250,6000,4644,4950,42.28959999577104,0
NIVF.US,D,20241202,000000,4950,6000,4950,5235,45.22806666214387,0
NIVF.US,D,20241203,000000,5250,5520,5100,5356.5,26.839333330649403,0
NIVF.US,D,20241204,000000,5625,6441,5353.5,5925,70.04379999299563,0
NIVF.US,D,20241205,000000,6000,6512.91,5925,6512.91,33.97346666326933,0
NIVF.US,D,20241206,000000,6720,7500,6123,6720,29.106599997089347,0
NIVF.US,D,20241209,000000,6900,7071,6139.5,6154.5,22.057533331127583,0
NIVF.US,D,20241210,000000,6000,6300,5715,5865,9.62273333237106,0
NIVF.US,D,20241211,000000,7656,8205,4821,5415,5188.768332814457,0
NIVF.US,D,20241212,000000,5248.5,5917.5,4500,5695.5,681.759599931824,0
NIVF.US,D,20241213,000000,5250,5355,4665,4759.5,219.2792666447388,0
NIVF.US,D,20241216,000000,4545,4650,3795,4072.5,281.14186663855253,0
NIVF.US,D,20241217,000000,3954,6423,3597,6355.5,574.194333275914,0
NIVF.US,D,20241218,000000,4657.5,6300,4575,4927.5,599.0941999400906,0
NIVF.US,D,20241219,000000,5197.5,5850,4665,5122.5,303.02446663636425,0
NIVF.US,D,20241220,000000,4815,5289,4500,4996.5,183.65626664830106,0
NIVF.US,D,20241223,000000,5625,5985,4950,5250,303.0092666363658,0
NIVF.US,D,20241224,000000,5370,5385,4950,5098.5,113.93706665527299,0
NIVF.US,D,20241226,000000,5386.5,5953.35,5130,5776.5,226.89086664397763,0
NIVF.US,D,20241227,000000,5850,6499.5,5437.5,6420,327.91673330054175,0
NIVF.US,D,20241230,000000,6750,6750,5100,6225,295.80926663708584,0
NIVF.US,D,20241231,000000,6600,6600,5550,6075,220.19666664464702,0
NIVF.US,D,20250102,000000,6150,7350,6018,6255,312.32826663543386,0
NIVF.US,D,20250103,000000,6300,6525,5625,5935.5,158.5398666508127,0
NIVF.US,D,20250106,000000,6000,6225,5551.5,5985,185.23259998147677,0
NIVF.US,D,20250107,000000,5700,5863.5,5275.5,5535,135.4563999864544,0
NIVF.US,D,20250108,000000,5475,5520,4725,5475.9,126.509999987349,0
NIVF.US,D,20250110,000000,5550,5700,5100,5550,124.65739998753426,0
NIVF.US,D,20250113,000000,5175,5212.5,4233,4725,1280.8164665385852,0
NIVF.US,D,20250114,000000,4800,5040,4501.5,4950,144.65673331886765,0
NIVF.US,D,20250115,000000,4402.5,5722.5,4387.5,5340,225.68839997743117,0
NIVF.US,D,20250116,000000,5101.5,5385,4650,4725,123.58086665430858,0
NIVF.US,D,20250117,000000,4725,5287.5,4725,5235,129.3775333203956,0
NIVF.US,D,20250121,000000,4665,4875,4066.5,4272,2311.50759976885,0
NIVF.US,D,20250122,000000,4200,4215,3862.5,4066.5,217.4373999782563,0
NIVF.US,D,20250123,000000,3795,4194,3751.5,4065,100.61086665660562,0
NIVF.US,D,20250124,000000,3720,4236,3720,3973.5,81.59166665850749,0
NIVF.US,D,20250127,000000,3855,4056,3826.5,4044,59.413266660725355,0
NIVF.US,D,20250128,000000,3840,4267.5,3751.5,4183.5,62.88619999371139,0
NIVF.US,D,20250129,000000,3919.5,4125,3868.5,4040.82,52.718333328061505,0
NIVF.US,D,20250130,000000,3996,4047,3675,3885,77.29339999227068,0
NIVF.US,D,20250131,000000,2607,2608.5,2100,2235,994.1545332339182,0
NIVF.US,D,20250203,000000,2098.5,2325,1671,2017.5,440.17826662264895,0
NIVF.US,D,20250204,000000,1845,2018.69,1809,1897.5,208.54546664581218,0
NIVF.US,D,20250205,000000,1896,2040,1687.5,1833,143.7788666522888,0
NIVF.US,D,20250206,000000,1878,2788.5,1815,2326.5,2983.5369330349795,0
NIVF.US,D,20250207,000000,2674.5,2700,1627.5,2010,6722.213399327781,0
NIVF.US,D,20250210,000000,1771.5,2130,1669.5,1800,3986.119332934722,0
