<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XXII.US,D,20110126,000000,14531400,14531400,12295800,14531400,0.000626230000313115,0
XXII.US,D,20110127,000000,14531400,14531400,13972500,13972500,0.00089461333378064,0
XXII.US,D,20110128,000000,13413600,14531400,13413600,14531400,0.000554660666943997,0
XXII.US,D,20110131,000000,14531400,14531400,13972500,13972500,0.00040257600020128796,0
XXII.US,D,20110201,000000,14307840,14531400,14307840,14531400,0.00071568666702451,0
XXII.US,D,20110202,000000,14531400,14531400,14307840,14307840,0.000478618666905976,0
XXII.US,D,20110203,000000,14419620,14754960,14419620,14754960,0.000626230000313115,0
XXII.US,D,20110204,000000,14754960,14754960,14307840,14307840,0.00023707266678520302,0
XXII.US,D,20110208,000000,14754960,14754960,14754960,14754960,0.000044730666689032,0
XXII.US,D,20110209,000000,14754960,14754960,14754960,14754960,0.0000626230000313115,0
XXII.US,D,20110210,000000,14754960,14754960,14754960,14754960,0.00031723000015861503,0
XXII.US,D,20110211,000000,14754960,14754960,14754960,14754960,0.00011182666672258,0
XXII.US,D,20110214,000000,14754960,14978520,14754960,14978520,0.0010288000005144,0
XXII.US,D,20110215,000000,14978520,14978520,14978520,14978520,0.000411522000205761,0
XXII.US,D,20110218,000000,14978520,14978520,14978520,14978520,0.00044730666689032,0
XXII.US,D,20110222,000000,15090300,15202080,15090300,15202080,0.0012077266672705302,0
XXII.US,D,20110224,000000,15090300,15202080,15090300,15202080,0.00082304000041152,0
XXII.US,D,20110225,000000,15202080,15425640,15202080,15425640,0.00165503333416085,0
XXII.US,D,20110228,000000,15425640,15649200,15425640,15649200,0.0021023400010511703,0
XXII.US,D,20110301,000000,15649200,15649200,15649200,15649200,0.00186079333426373,0
XXII.US,D,20110302,000000,15649200,15649200,15649200,15649200,0.0008498800004249399,0
XXII.US,D,20110304,000000,15649200,15760980,15649200,15760980,0.0016666666675000002,0
XXII.US,D,20110307,000000,15760980,15760980,15760980,15760980,0.000510377333588522,0
XXII.US,D,20110310,000000,15760980,15760980,15760980,15760980,0.000178922666756128,0
XXII.US,D,20110311,000000,15649200,15649200,15649200,15649200,0.000268384000134192,0
XXII.US,D,20110315,000000,15537420,15537420,15537420,15537420,0.0000581499333624083,0
XXII.US,D,20110322,000000,14531400,14531400,13972500,13972500,0.00045625333356145997,0
XXII.US,D,20110323,000000,13972500,13972500,13972500,13972500,0.000313114666823224,0
XXII.US,D,20110324,000000,12519360,12519360,11289780,12519360,0.000313114666823224,0
XXII.US,D,20110325,000000,13413600,13413600,13413600,13413600,0.000178922666756128,0
XXII.US,D,20110401,000000,13413600,13413600,13413600,13413600,0.000178922666756128,0
XXII.US,D,20110404,000000,13413600,13413600,13413600,13413600,0.000581499333624083,0
XXII.US,D,20110405,000000,13413600,13413600,13413600,13413600,0.000134192000067096,0
XXII.US,D,20110406,000000,13413600,13972500,13413600,13972500,0.000134192000067096,0
XXII.US,D,20110411,000000,13972500,13972500,13972500,13972500,0.0009623333338145,0
XXII.US,D,20110426,000000,13972500,13972500,13972500,13972500,0.00089461333378064,0
XXII.US,D,20110427,000000,13972500,13972500,13972500,13972500,0.00089461333378064,0
XXII.US,D,20110428,000000,13972500,13972500,13972500,13972500,0.00047056666690195,0
XXII.US,D,20110429,000000,13413600,13413600,13413600,13413600,0.0000232599333449633,0
XXII.US,D,20110503,000000,13972500,13972500,13972500,13972500,0.00067096000033548,0
XXII.US,D,20110513,000000,12854700,12854700,12854700,12854700,0.000077831333372249,0
XXII.US,D,20110516,000000,13972500,13972500,13972500,13972500,0.000089461333378064,0
XXII.US,D,20110517,000000,13972500,13972500,13972500,13972500,0.0000178922666756128,0
XXII.US,D,20110518,000000,13972500,13972500,12295800,13413600,0.00133163333399915,0
XXII.US,D,20110519,000000,13972500,13972500,13972500,13972500,0.000089461333378064,0
XXII.US,D,20110520,000000,13972500,13972500,13972500,13972500,0.0010601133338633902,0
XXII.US,D,20110523,000000,13972500,13972500,13972500,13972500,0.00147002666740168,0
XXII.US,D,20110524,000000,13525380,13525380,13525380,13525380,0.000536768000268384,0
XXII.US,D,20110525,000000,12966480,12966480,12966480,12966480,0.00044730666689032,0
XXII.US,D,20110526,000000,12966480,12966480,12854700,12854700,0.0007778666670556,0
XXII.US,D,20110527,000000,12407580,12407580,12407580,12407580,0.000027285733346976204,0
XXII.US,D,20110531,000000,13637160,13637160,13637160,13637160,0.000411522000205761,0
XXII.US,D,20110601,000000,13637160,13637160,13637160,13637160,0.0000089461333378064,0
XXII.US,D,20110602,000000,13637160,13972500,13637160,13972500,0.0009751266671542301,0
XXII.US,D,20110603,000000,13972500,13972500,13972500,13972500,0.000433887333550277,0
XXII.US,D,20110606,000000,13972500,13972500,13972500,13972500,0.00231257333448962,0
XXII.US,D,20110608,000000,13972500,13972500,13525380,13525380,0.000268384000134192,0
XXII.US,D,20110609,000000,14531400,14531400,14531400,14531400,0.0005307746669320541,0
XXII.US,D,20110610,000000,14531400,14531400,14531400,14531400,0.0010735333338701,0
XXII.US,D,20110613,000000,14419620,14419620,14419620,14419620,0.000429414666881374,0
XXII.US,D,20110615,000000,13972500,13972500,13972500,13972500,0.000016997666675165502,0
XXII.US,D,20110616,000000,13972500,13972500,13413600,13413600,0.000492037333579352,0
XXII.US,D,20110617,000000,13972500,13972500,13972500,13972500,0.00044730666689032,0
XXII.US,D,20110620,000000,13972500,13972500,13972500,13972500,0.000536768000268384,0
XXII.US,D,20110621,000000,13972500,13972500,13972500,13972500,0.000089461333378064,0
XXII.US,D,20110622,000000,13972500,13972500,13972500,13972500,0.000089461333378064,0
XXII.US,D,20110624,000000,13972500,13972500,13972500,13972500,0.0009661800004830901,0
XXII.US,D,20110627,000000,13972500,13972500,13972500,13972500,0.00076230000038115,0
XXII.US,D,20110628,000000,13972500,13972500,13972500,13972500,0.0000607442666970388,0
XXII.US,D,20110629,000000,13972500,13972500,12854700,12854700,0.000369564666851449,0
XXII.US,D,20110701,000000,13413600,13413600,13413600,13413600,0.00044730666689032,0
XXII.US,D,20110706,000000,13972500,13972500,13972500,13972500,0.000178922666756128,0
XXII.US,D,20110707,000000,13972500,13972500,13972500,13972500,0.0000089461333378064,0
XXII.US,D,20110711,000000,13972500,13972500,13972500,13972500,0.000392914000196457,0
XXII.US,D,20110712,000000,13972500,13972500,13972500,13972500,0.00044730666689032,0
XXII.US,D,20110713,000000,13972500,13972500,13972500,13972500,0.000044730666689032,0
XXII.US,D,20110714,000000,13972500,13972500,13972500,13972500,0.0012077266672705302,0
XXII.US,D,20110718,000000,13413600,13972500,13413600,13972500,0.000049382666691358006,0
XXII.US,D,20110720,000000,13413600,13413600,13413600,13413600,0.0014857733340762202,0
XXII.US,D,20110721,000000,12854700,14531400,7712820,13972500,0.0078844000039422,0
XXII.US,D,20110722,000000,14196060,14196060,13413600,14084280,0.000268384000134192,0
XXII.US,D,20110726,000000,12854700,12854700,11178000,11178000,0.00067096000033548,0
XXII.US,D,20110727,000000,12295800,12295800,12295800,12295800,0.000089461333378064,0
XXII.US,D,20110728,000000,12854700,12854700,12854700,12854700,0.00071568666702451,0
XXII.US,D,20110729,000000,12854700,12854700,11178000,12854700,0.000512614000256307,0
XXII.US,D,20110801,000000,13413600,13413600,13413600,13413600,0.00071568666702451,0
XXII.US,D,20110802,000000,12854700,12854700,12854700,12854700,0.00034889933350778303,0
XXII.US,D,20110804,000000,11401560,11401560,10060200,10060200,0.00080514666706924,0
XXII.US,D,20110805,000000,13301820,13301820,13301820,13301820,0.0000152084000076042,0
XXII.US,D,20110808,000000,11289780,13301820,11289780,13301820,0.00007156866670245101,0
XXII.US,D,20110809,000000,13301820,13301820,13301820,13301820,0.000536768000268384,0
XXII.US,D,20110810,000000,13301820,13301820,13301820,13301820,0.0000357845333512256,0
XXII.US,D,20110816,000000,12295800,12295800,12295800,12295800,0.0000551082000275541,0
XXII.US,D,20110818,000000,12184020,12184020,12184020,12184020,0.00010735333338701,0
XXII.US,D,20110822,000000,12184020,12184020,12184020,12184020,0.000536768000268384,0
XXII.US,D,20110826,000000,12295800,12295800,12295800,12295800,0.0000626230000313115,0
XXII.US,D,20110829,000000,13413600,13413600,13413600,13413600,0.000500984000250492,0
XXII.US,D,20110830,000000,13413600,13413600,13413600,13413600,0.0000402576000201288,0
XXII.US,D,20110908,000000,10171980,11736900,6706800,11289780,0.0027554066680443704,0
XXII.US,D,20110909,000000,11736900,11736900,11289780,11289780,0.00162614000081307,0
XXII.US,D,20110912,000000,9054180,9054180,7265700,7265700,0.00362318666847826,0
XXII.US,D,20110913,000000,7601040,7601040,6706800,7489260,0.00323984000161992,0
XXII.US,D,20110914,000000,7265700,7265700,7042140,7042140,0.00044730666689032,0
XXII.US,D,20110915,000000,8942400,8942400,6930360,8942400,0.0008140933337403801,0
XXII.US,D,20110916,000000,9165960,9501300,8383500,8942400,0.0030282666681808,0
XXII.US,D,20110920,000000,9165960,9501300,8942400,8942400,0.010449066671891199,0
XXII.US,D,20110921,000000,8383500,8942400,8383500,8383500,0.0051171933358919305,0
XXII.US,D,20110922,000000,9165960,9165960,7824600,7824600,0.00400116000200058,0
XXII.US,D,20110923,000000,7824600,7824600,7265700,7265700,0.000053676800026838396,0
